x,y,yaw,speed
-7.9627,-0.1700,0.0000,3.50
-7.8619,-0.1700,0.0000,3.50
-7.7611,-0.1700,0.0000,3.50
-7.6603,-0.1700,0.0000,3.50
-7.5595,-0.1700,0.0000,3.50
-7.4587,-0.1700,0.0000,3.50
-7.3579,-0.1700,0.0000,3.50
-7.2571,-0.1700,0.0000,3.50
-7.1563,-0.1700,0.0000,3.50
-7.0556,-0.1700,0.0000,3.50
-6.9548,-0.1700,0.0000,3.50
-6.8540,-0.1700,0.0000,3.50
-6.7532,-0.1700,0.0000,3.50
-6.6524,-0.1700,0.0000,3.50
-6.5516,-0.1700,0.0000,3.50
-6.4508,-0.1700,0.0000,3.50
-6.3500,-0.1700,0.0000,3.50
-6.2492,-0.1700,0.0000,3.50
-6.1484,-0.1700,0.0000,3.50
-6.0476,-0.1700,0.0000,3.50
-5.9468,-0.1700,0.0000,3.50
-5.8460,-0.1700,0.0000,3.50
-5.7452,-0.1700,0.0000,3.50
-5.6444,-0.1700,0.0000,3.50
-5.5437,-0.1700,0.0000,3.50
-5.4429,-0.1700,0.0000,3.50
-5.3421,-0.1700,0.0000,3.50
-5.2413,-0.1700,0.0000,3.50
-5.1405,-0.1700,0.0000,3.50
-5.0397,-0.1700,0.0000,3.50
-4.9389,-0.1700,0.0000,3.50
-4.8381,-0.1700,0.0000,3.50
-4.7373,-0.1700,0.0000,3.50
-4.6365,-0.1700,0.0000,3.50
-4.5357,-0.1700,0.0000,3.50
-4.4349,-0.1700,0.0000,3.50
-4.3341,-0.1700,0.0000,3.50
-4.2333,-0.1700,0.0000,3.50
-4.1325,-0.1700,0.0000,3.50
-4.0317,-0.1700,0.0000,3.50
-3.9310,-0.1700,0.0000,3.50
-3.8302,-0.1700,0.0000,3.50
-3.7294,-0.1700,0.0000,3.50
-3.6286,-0.1700,0.0000,3.50
-3.5278,-0.1700,0.0000,3.50
-3.4270,-0.1700,0.0000,3.50
-3.3262,-0.1700,0.0000,3.50
-3.2254,-0.1700,0.0000,3.50
-3.1246,-0.1700,0.0000,3.50
-3.0238,-0.1700,0.0000,3.50
-2.9230,-0.1700,0.0000,3.50
-2.8222,-0.1700,0.0000,3.50
-2.7214,-0.1700,0.0000,3.50
-2.6206,-0.1700,0.0000,3.50
-2.5198,-0.1700,0.0000,3.50
-2.4190,-0.1700,0.0000,3.50
-2.3183,-0.1700,0.0000,3.50
-2.2175,-0.1700,0.0000,3.50
-2.1167,-0.1700,0.0000,3.50
-2.0159,-0.1700,0.0000,3.50
-1.9151,-0.1700,0.0000,3.50
-1.8143,-0.1700,0.0000,3.50
-1.7135,-0.1700,0.0000,3.50
-1.6127,-0.1700,0.0000,3.50
-1.5119,-0.1700,0.0000,3.50
-1.4111,-0.1700,0.0000,3.50
-1.3103,-0.1700,0.0000,3.50
-1.2095,-0.1700,0.0000,3.50
-1.1087,-0.1700,0.0000,3.50
-1.0079,-0.1700,0.0000,3.50
-0.9071,-0.1700,0.0000,3.50
-0.8063,-0.1700,0.0000,3.50
-0.7056,-0.1700,0.0000,3.50
-0.6048,-0.1700,0.0000,3.50
-0.5040,-0.1700,0.0000,3.50
-0.4032,-0.1700,0.0000,3.50
-0.3024,-0.1700,0.0000,3.50
-0.2016,-0.1700,0.0000,3.50
-0.1008,-0.1700,0.0000,3.50
